Wavelength (nm)	L03 abs e
612.75	40026
613.00	39526
613.25	39024
613.50	38517
613.75	38011
614.00	37527
614.25	37262
614.50	36932
614.75	36284
615.00	35726
615.25	35425
615.50	34808
615.75	34213
616.00	33872
616.25	33189
616.50	32767
616.75	32297
617.00	31809
617.25	31128
617.50	30726
617.75	30195
618.00	29713
618.25	29136
618.50	28737
618.75	28254
619.00	27754
619.25	27266
619.50	26900
619.75	26461
620.00	26099
620.25	25487
620.50	25093
620.75	24680
621.00	24373
621.25	23938
621.50	23331
621.75	22756
622.00	22720
622.25	22072
622.50	21783
622.75	21245
623.00	21200
623.25	20614
623.50	20269
623.75	19841
624.00	19581
624.25	19180
624.50	18910
624.75	18535
625.00	18102
625.25	17966
625.50	17604
625.75	17279
626.00	16946
626.25	16513
626.50	16265
626.75	15880
627.00	15699
627.25	15264
627.50	15177
627.75	14784
628.00	14604
628.25	14308
628.50	13896
628.75	13936
629.00	13466
629.25	13367
629.50	13018
629.75	12811
630.00	12525
630.25	12192
630.50	11990
630.75	11862
631.00	11682
631.25	11221
631.50	11128
631.75	10957
632.00	10559
632.25	10458
632.50	10209
632.75	9994.4
633.00	9966.3
633.25	9790.0
633.50	9574.0
633.75	9214.7
634.00	9188.4
634.25	8923.6
634.50	8831.5
634.75	8630.2
635.00	8324.5
635.25	8172.6
635.50	7863.9
635.75	7808.9
636.00	7449.6
636.25	7448.4
636.50	7376.4
636.75	7147.0
637.00	7037.1
637.25	6848.0
637.50	7123.8
637.75	6749.8
638.00	6649.7
638.25	6375.2
638.50	6255.0
638.75	6212.3
639.00	6118.9
639.25	5979.8
639.50	5683.3
639.75	5762.0
640.00	5333.1
640.25	5392.9
640.50	5288.5
640.75	5367.2
641.00	5196.4
641.25	4908.4
641.50	4896.2
641.75	4865.7
642.00	4996.9
642.25	4661.9
642.50	4352.0
642.75	4522.8
643.00	4400.8
643.25	4439.2
643.50	4083.5
643.75	4084.2
644.00	4068.3
644.25	3868.8
644.50	3892.0
644.75	3740.7
645.00	3723.0
645.25	3767.5
645.50	3653.4
645.75	3561.3
646.00	3319.1
646.25	3424.0
646.50	3276.4
646.75	3270.9
647.00	3079.3
647.25	3144.6
647.50	3045.1
647.75	2870.6
648.00	2877.9
648.25	2651.6
648.50	2854.8
648.75	2773.0
649.00	2618.0
649.25	2718.7
649.50	2579.6
649.75	2616.8
650.00	2358.1
650.25	2425.8
650.50	2413.6
650.75	2373.4
651.00	2198.9
651.25	2165.9
651.50	2037.8
651.75	2083.0
652.00	2066.5
652.25	1940.8
652.50	1902.4
652.75	2129.9
653.00	1932.3
653.25	1948.1
653.50	1785.8
653.75	1935.9
654.00	1755.9
654.25	1830.4
654.50	1712.6
654.75	1741.3
655.00	1611.9
655.25	1650.4
655.50	1506.4
