Wavelength (nm)	L02 abs e
503.75	3944.3
504.00	4075.3
504.25	4246.9
504.50	3955.7
504.75	4114.8
505.00	4008.8
505.25	4086.7
505.50	4107.5
505.75	3994.2
506.00	4171.0
506.25	4251.0
506.50	4549.5
506.75	4489.2
507.00	4445.5
507.25	4356.1
507.50	4606.7
507.75	4429.9
508.00	4594.2
508.25	4726.3
508.50	4444.5
508.75	4788.7
509.00	4785.5
509.25	4675.3
509.50	4721.1
509.75	4884.3
510.00	4736.7
510.25	4644.1
510.50	4761.6
510.75	5176.5
511.00	5047.6
511.25	5132.9
511.50	5132.9
511.75	5333.6
512.00	5199.4
512.25	5237.9
512.50	5248.3
512.75	5261.8
513.00	5250.4
513.25	5216.1
513.50	5559.2
513.75	5501.0
514.00	5329.4
514.25	5315.9
514.50	5333.6
514.75	5631.0
515.00	5773.4
515.25	5629.9
515.50	5590.4
515.75	5844.2
516.00	5911.7
516.25	5665.3
516.50	5826.5
516.75	5791.1
517.00	5933.6
517.25	6253.9
517.50	6315.2
517.75	6061.5
518.00	6336.0
518.25	6277.8
518.50	6331.9
518.75	6172.8
519.00	6447.3
519.25	6500.3
519.50	6451.4
519.75	6520.1
520.00	6600.1
520.25	6607.4
520.50	6630.3
520.75	6818.5
521.00	6763.4
521.25	7057.7
521.50	7028.6
521.75	6912.1
522.00	7061.9
522.25	7043.1
522.50	7081.6
522.75	7217.8
523.00	7207.4
523.25	7202.2
523.50	7291.7
523.75	7358.2
524.00	7543.3
524.25	7445.6
524.50	7409.2
524.75	7471.6
525.00	7503.8
525.25	7787.7
525.50	7696.2
525.75	7867.8
526.00	7753.4
526.25	7875.0
526.50	7880.2
526.75	8127.7
527.00	7975.9
527.25	8292.0
527.50	8111.1
527.75	8326.4
528.00	8327.4
528.25	8512.5
528.50	8631.0
528.75	8586.3
529.00	8395.0
529.25	8668.5
529.50	8671.6
529.75	8653.9
530.00	8933.6
530.25	9009.6
530.50	9140.6
530.75	9163.5
531.00	9263.3
531.25	9103.2
531.50	9325.7
531.75	9320.5
532.00	9493.1
532.25	9620.0
532.50	9635.6
532.75	9566.9
533.00	9763.5
533.25	9804.0
533.50	10126
533.75	10036
534.00	10197
534.25	10165
534.50	10075
534.75	10208
535.00	10407
535.25	10314
535.50	10474
535.75	10622
536.00	10714
536.25	10654
536.50	10737
536.75	10929
537.00	10857
537.25	11065
537.50	11080
537.75	11309
538.00	11395
538.25	11458
538.50	11499
538.75	11410
539.00	11567
539.25	11958
539.50	11898
539.75	12046
540.00	12275
540.25	12127
540.50	12468
540.75	12503
541.00	12611
541.25	12930
541.50	12599
541.75	12903
542.00	13074
542.25	13072
542.50	13154
542.75	13295
543.00	13314
543.25	13706
543.50	13526
543.75	13724
544.00	13758
544.25	14019
544.50	14044
