Wavelength (nm)	L01 abs e
480.75	2318.3
481.00	2248.7
481.25	2220.3
481.50	2126.2
481.75	2095.0
482.00	2028.6
482.25	2012.4
482.50	1997.5
482.75	1935.5
483.00	1891.3
483.25	1809.0
483.50	1811.7
483.75	1707.5
484.00	1697.9
484.25	1683.0
484.50	1607.0
484.75	1589.2
485.00	1495.9
485.25	1497.0
485.50	1477.1
485.75	1435.3
486.00	1416.0
486.25	1375.2
486.50	1314.3
486.75	1293.4
487.00	1265.7
487.25	1221.4
487.50	1161.1
487.75	1178.9
488.00	1132.1
488.25	1133.3
488.50	1091.8
488.75	1059.2
489.00	1024.0
489.25	998.00
489.50	987.52
489.75	924.08
490.00	927.67
490.25	885.63
490.50	893.86
490.75	814.26
491.00	854.80
491.25	808.42
491.50	803.93
491.75	788.22
492.00	738.25
492.25	723.28
492.50	694.41
492.75	666.28
493.00	650.57
493.25	663.14
493.50	673.16
493.75	626.48
494.00	630.22
494.25	613.46
494.50	607.92
494.75	615.70
495.00	578.30
495.25	575.75
495.50	542.69
495.75	553.16
496.00	529.07
496.25	530.87
496.50	497.50
496.75	485.23
497.00	502.89
497.25	452.91
497.50	423.14
497.75	433.46
498.00	431.82
498.25	355.36
498.50	397.40
498.75	390.82
499.00	389.32
499.25	337.55
499.50	341.29
499.75	355.21
500.00	321.84
500.25	334.26
500.50	314.66
500.75	340.84
501.00	335.46
501.25	296.41
501.50	284.14
501.75	282.79
502.00	259.60
502.25	316.46
502.50	266.03
502.75	255.41
503.00	257.20
503.25	278.15
503.50	223.84
503.75	257.95
504.00	230.12
504.25	207.98
504.50	261.09
504.75	210.97
505.00	228.93
505.25	185.09
505.50	224.74
505.75	196.76
506.00	216.66
506.25	210.37
506.50	244.34
506.75	209.92
507.00	146.78
507.25	184.19
507.50	176.11
507.75	180.30
508.00	164.44
508.25	141.54
508.50	139.60
508.75	176.26
509.00	189.87
509.25	139.60
509.50	183.14
509.75	149.62
510.00	162.19
510.25	159.35
510.50	118.95
510.75	168.03
511.00	156.96
511.25	93.515
511.50	131.22
511.75	122.99
512.00	162.94
512.25	122.84
512.50	116.56
512.75	130.32
513.00	145.29
513.25	145.73
513.50	91.271
513.75	142.59
514.00	133.61
514.25	150.67
514.50	131.52
514.75	155.46
515.00	139.30
515.25	122.69
515.50	126.13
515.75	48.329
516.00	108.48
516.25	131.07
516.50	94.563
516.75	108.63
517.00	129.13
517.25	140.80
517.50	129.57
517.75	114.76
518.00	107.73
518.25	82.742
518.50	144.84
518.75	139.75
519.00	115.81
519.25	107.88
519.50	142.44
519.75	103.69
520.00	101.00
520.25	119.25
520.50	58.653
520.75	115.66
521.00	69.276
521.25	133.02
521.50	61.047
521.75	103.09
522.00	134.51
522.25	66.583
522.50	106.23
522.75	90.224
523.00	130.02
523.25	99.051
523.50	76.458
523.75	90.972
524.00	83.341
524.25	77.655
524.50	59.700
524.75	62.393
525.00	79.301
525.25	76.757
525.50	105.93
525.75	73.466
526.00	119.40
526.25	65.984
526.50	109.38
526.75	45.785
527.00	73.914
527.25	62.094
527.50	41.596
527.75	70.323
528.00	51.172
528.25	76.907
528.50	97.256
528.75	129.72
529.00	121.05
529.25	94.712
529.50	108.18
529.75	61.496
530.00	102.79
530.25	53.566
530.50	39.800
530.75	124.19
531.00	93.066
531.25	105.78
531.50	41.296
531.75	78.852
532.00	46.982
532.25	49.077
532.50	65.835
532.75	50.872
533.00	116.26
533.25	72.717
533.50	98.603
533.75	58.354
534.00	79.600
534.25	101.30
534.50	71.371
534.75	102.79
535.00	73.166
535.25	53.117
535.50	78.702
535.75	51.471
536.00	62.094
536.25	22.144
536.50	102.34
536.75	42.643
537.00	70.772
537.25	64.039
537.50	83.341
537.75	40.249
538.00	84.987
538.25	61.196
538.50	98.453
538.75	89.176
539.00	48.778
539.25	85.136
539.50	80.199
539.75	103.39
540.00	78.403
540.25	59.102
540.50	61.047
540.75	54.763
541.00	94.413
541.25	47.132
541.50	55.660
541.75	103.24
542.00	70.473
542.25	55.211
542.50	18.105
542.75	70.922
543.00	45.935
543.25	51.620
543.50	38.902
543.75	75.111
544.00	79.750
544.25	87.830
544.50	93.964
544.75	35.910
545.00	59.102
545.25	55.361
545.50	55.810
545.75	89.475
546.00	73.615
546.25	66.583
546.50	47.281
546.75	76.159
547.00	64.039
547.25	94.862
547.50	47.880
547.75	77.356
548.00	53.865
548.25	57.456
548.50	65.984
548.75	28.129
549.00	50.573
549.25	69.875
549.50	87.231
549.75	69.426
550.00	35.910
550.25	75.261
550.50	29.326
550.75	33.965
551.00	72.568
551.25	77.206
551.50	76.458
551.75	90.523
552.00	53.865
552.25	48.179
552.50	61.795
552.75	52.967
553.00	46.982
553.25	63.890
553.50	18.553
553.75	78.403
554.00	86.782
554.25	110.72
554.50	76.009
554.75	56.259
555.00	74.748
555.25	43.391
555.50	59.850
555.75	92.767
556.00	55.211
556.25	62.393
556.50	47.581
556.75	59.102
557.00	42.942
557.25	79.451
557.50	66.882
557.75	88.877
558.00	49.975
558.25	67.331
558.50	27.531
558.75	40.698
559.00	67.630
559.25	56.109
559.50	88.727
559.75	102.19
560.00	76.757
560.25	96.807
560.50	54.463
560.75	89.326
561.00	46.084
561.25	25.436
561.50	71.969
561.75	29.925
562.00	83.640
562.25	50.274
562.50	89.924
562.75	36.658
563.00	86.932
563.25	80.498
563.50	60.897
563.75	62.992
564.00	76.757
564.25	61.645
564.50	27.681
564.75	50.124
565.00	69.725
565.25	49.077
565.50	103.54
565.75	51.321
566.00	73.466
566.25	69.426
566.50	77.954
566.75	81.396
567.00	80.348
567.25	71.371
567.50	48.329
567.75	97.854
568.00	67.032
568.25	104.89
568.50	65.685
568.75	57.157
569.00	69.426
569.25	68.229
569.50	92.468
569.75	129.43
570.00	76.308
570.25	63.740
570.50	62.543
570.75	57.456
571.00	95.311
571.25	28.728
571.50	66.882
571.75	53.566
572.00	66.733
572.25	76.308
572.50	63.740
572.75	126.43
573.00	84.089
573.25	112.52
573.50	48.778
573.75	59.102
574.00	95.311
574.25	61.645
574.50	101.15
574.75	64.339
575.00	105.04
575.25	80.797
575.50	86.333
575.75	79.301
576.00	58.802
576.25	116.71
576.50	41.745
576.75	124.94
577.00	100.70
577.25	93.515
577.50	86.184
577.75	88.278
578.00	105.19
578.25	87.381
578.50	90.523
578.75	108.18
579.00	51.620
579.25	87.381
579.50	70.623
579.75	102.94
580.00	56.558
580.25	94.862
580.50	116.56
580.75	113.12
581.00	84.837
581.25	93.066
581.50	72.717
581.75	63.740
582.00	72.568
582.25	53.416
582.50	101.89
582.75	85.884
583.00	58.204
583.25	107.28
583.50	92.767
583.75	90.822
584.00	80.049
584.25	101.15
584.50	84.089
584.75	77.655
585.00	80.049
585.25	57.905
585.50	80.199
585.75	60.748
586.00	101.30
586.25	71.670
586.50	118.65
586.75	93.815
587.00	71.670
587.25	120.75
587.50	103.69
587.75	99.201
588.00	87.081
588.25	13.017
588.50	67.032
588.75	89.176
589.00	106.08
589.25	79.750
589.50	144.84
589.75	98.004
590.00	68.229
590.25	80.199
590.50	39.501
590.75	108.33
591.00	83.790
591.25	123.14
591.50	32.319
591.75	86.333
592.00	85.884
592.25	59.251
592.50	75.710
592.75	89.775
593.00	113.27
593.25	82.593
593.50	72.119
593.75	96.358
594.00	60.748
594.25	71.670
594.50	37.256
594.75	93.665
595.00	64.787
595.25	103.84
595.50	86.633
595.75	48.329
596.00	28.578
596.25	68.977
596.50	109.38
596.75	55.211
597.00	92.318
597.25	85.436
597.50	62.393
597.75	29.626
598.00	16.159
598.25	98.902
598.50	59.102
598.75	111.77
599.00	67.331
599.25	41.895
599.50	71.520
599.75	80.049
600.00	88.129
